Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,28-07-2025,24782.45,24889.2,24646.6,24680.9,-156.1,-.63,262142969,24976.54,21.78,3.41,1.39
Nifty Next 50,28-07-2025,67023,67566.65,66678.3,66768.9,-377.75,-.56,185791861,8932.38,21.25,3.76,1.3
Nifty 100,28-07-2025,25387.75,25510.1,25251.4,25285.0,-157.1,-.62,447934830,33908.92,21.69,3.47,1.37
Nifty 200,28-07-2025,13838.25,13915.2,13756.3,13775.75,-91.0,-.66,1444630077,50517.68,22.95,3.62,1.29
Nifty 500,28-07-2025,22967.4,23094.85,22818.15,22846.95,-167.85,-.73,2026364448,70338.58,24.12,3.72,1.2
Nifty Midcap 50,28-07-2025,16300.5,16492.65,16203.2,16254.45,-80.1,-.49,618163163,9328.3,38.19,5.2,.8
NIFTY Midcap 100,28-07-2025,57912.9,58446.9,57409.65,57519.35,-490.1,-.84,996695247,16608.76,32.07,4.6,.89
NIFTY Smallcap 100,28-07-2025,18235.95,18387.4,18036,18064.75,-229.7,-1.26,335750857,11499.38,31.86,4.16,.73
Nifty50 Dividend Points,28-07-2025,-,-,-,164.45,0.0,-,-,-,-,-,-
Nifty Auto,28-07-2025,23777.7,23981.6,23670.9,23693.0,-88.55,-.37,41480950,3053.76,24.73,4.38,1.16
Nifty Bank,28-07-2025,56215.1,56578.4,55997.45,56084.9,-444.0,-.79,145685401,8419.46,14.81,2.16,1.04
Nifty Energy,28-07-2025,35244.1,35515.55,34986.25,35021.55,-228.95,-.65,269832051,5523.93,15.35,2.46,2.27
Nifty Financial Services,28-07-2025,26684.35,26856.8,26562.1,26615.2,-192.8,-.72,108689352,11217.09,17.45,2.77,.96
Nifty FMCG,28-07-2025,54593.75,55050.25,54510.65,54732.95,153.0,.28,28708191,2383.99,41.36,10.45,2.02
Nifty IT,28-07-2025,35521.7,35566.55,35049.9,35370.05,-253.7,-.71,28685591,4284.18,25.65,6.85,3.06
Nifty Media,28-07-2025,1669.25,1675.95,1620.15,1624.5,-45.1,-2.7,24730698,295.57,180.4,1.92,.93
Nifty Metal,28-07-2025,9418.1,9432.5,9288.5,9316.45,-108.65,-1.15,103126614,2727.15,18.65,2.6,2.09
Nifty MNC,28-07-2025,28559.1,28774.2,28363.95,28437.35,-124.85,-.44,24871386,2961.99,33.65,8.05,1.79
Nifty Pharma,28-07-2025,22690.5,22908.4,22662.8,22761.15,98.45,.43,36317588,4210.28,32.61,5.08,.81
Nifty PSU Bank,28-07-2025,6984.25,7062.2,6911.4,6919.5,-84.15,-1.2,108594263,1784.12,7.01,1.12,2.72
Nifty Realty,28-07-2025,945.1,946.05,909,911.9,-38.7,-4.07,19898244,2391.28,45.12,4.53,.46
Nifty India Consumption,28-07-2025,11670.65,11725.5,11586.7,11612.15,-75.65,-.65,78782533,8334.76,40.79,8.52,1.17
Nifty Commodities,28-07-2025,8774.15,8833.6,8745.9,8758.75,-15.05,-.17,120463954,5914.24,17.72,2.26,1.96
Nifty Dividend Opportunities 50,28-07-2025,5892.3,5918.25,5859.65,5870.05,-28.95,-.49,361354532,12013.85,14.5,2.87,3.28
Nifty Infrastructure,28-07-2025,9053.7,9099,8988.65,8995.65,-70.85,-.78,115842785,7515.44,22.62,3.19,1.17
Nifty PSE,28-07-2025,9790.7,9854.25,9688.7,9713.45,-76.15,-.78,123469724,3467.94,12.39,2.17,2.91
Nifty Services Sector,28-07-2025,32838.45,32956.6,32613.9,32674.2,-288.35,-.87,183659244,16953.79,20.88,3.5,1.37
Nifty50 Shariah,28-07-2025,4603.5,4625.35,4588.05,4593.65,-14.1,-.31,33969497,5457.11,25.4,5.25,2.52
Nifty500 Shariah,28-07-2025,7026.7,7065.3,6982.4,6990.95,-41.8,-.59,387630839,21607.16,30.51,5.2,1.45
Nifty Low Volatility 50,28-07-2025,24619.85,24793.85,24561.75,24601.8,-91.5,-.37,123726498,18631.92,33.51,5.52,1.27
Nifty Alpha 50,28-07-2025,51785.05,52383.7,51429.35,51507.65,-432.3,-.83,254475946,16240.02,46.06,7.97,.34
Nifty High Beta 50,28-07-2025,3711.8,3744.45,3660.5,3664.3,-54.7,-1.47,716065861,10418.3,16.01,2.37,1.54
Nifty100 Equal Weight,28-07-2025,32355.8,32561.3,32181.25,32221.05,-187.7,-.58,447934830,33908.92,22.73,3.57,1.34
Nifty100 Liquid 15,28-07-2025,6945.85,6967.95,6850.5,6857.25,-130.75,-1.87,130098056,10791.37,19.31,2.96,1.15
Nifty CPSE,28-07-2025,6433.7,6469.6,6373.35,6393.65,-38.05,-.59,64252303,1893.28,13.44,2.28,3.26
Nifty50 Value 20,28-07-2025,12581.65,12625.3,12532.35,12558.05,-32.75,-.26,95288815,8720.99,16.63,3.12,2.48
Nifty Midcap Liquid 15,28-07-2025,15141.6,15354.1,15039,15114.45,-32.2,-.21,122830747,3931.26,37.84,5.8,.61
Nifty Shariah 25,28-07-2025,8037.55,8091.6,8004.8,8027.3,-15.75,-.2,48344446,6459.34,25.75,5.19,2.32
India VIX,28-07-2025,11.275,12.23,10.325,12.06,0.79,6.98,-,-,-,-,-
Nifty Growth Sectors 15,28-07-2025,11414.2,11467.15,11361.15,11406.7,-13.8,-.12,29516838,4969.84,33.59,6.58,1.71
Nifty50 TR 1x Inverse,28-07-2025,169.7,170.6,168.95,170.4,1.15,.68,-,-,-,-,-
Nifty50 TR 2x Leverage,28-07-2025,20163.45,20335.6,19942.05,19997.75,-258.55,-1.28,-,-,-,-,-
Nifty50 PR 1x Inverse,28-07-2025,206.7,207.8,205.8,207.55,1.4,.68,-,-,-,-,-
Nifty50 PR 2x Leverage,28-07-2025,13566.25,13682.1,13417.25,13454.75,-177.45,-1.3,-,-,-,-,-
NIFTY100 Quality 30,28-07-2025,5473.85,5506,5447.25,5464.4,-16.7,-.3,84903725,9256.07,28.44,6.84,2.08
Nifty 50 Futures Index,28-07-2025,-,-,-,6484.84,-36.38,-.56,-,-,-,-,-
Nifty 50 Arbitrage,28-07-2025,-,-,-,2529.29,-0.48,-.02,-,-,-,-,-
Nifty 50 Futures TR Index,28-07-2025,-,-,-,26569.3,-135.85,-.51,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,28-07-2025,-,-,-,34327.92,-371.34,-1.07,8484804,933.17,28.26,4.33,1.44
Nifty India Corporate Group Index - Tata Group,28-07-2025,-,-,-,15617.47,-189.24,-1.2,48753478,4008.24,28.66,6.07,2.2
Nifty India Corporate Group Index - Aditya Birla Group,28-07-2025,-,-,-,8166.89,-22.57,-.28,397517940,1252.95,119.82,3.83,.76
Nifty India Infrastructure & Logistics,28-07-2025,-,-,-,11282.7,-128.45,-1.13,763304065,13288.58,29.8,4.47,.95
Nifty Waves,28-07-2025,-,-,-,2121.34,-61.53,-2.82,30567627,335.84,-,2.37,.73
Nifty500 Healthcare,28-07-2025,-,-,-,19371.7,2.51,.01,56304835,6021.64,40.03,6.14,.63
Nifty India Corporate Group Index - Tata Group 25% Cap,28-07-2025,14746.65,14807.5,14631.8,14647.55,-142.2,-.96,42902571,3577.76,30.15,5.02,1.6
