Index_Name,Index_Date,Open_Index_Value,High_Index_Value,Low_Index_Value,Closing_Index_Value,Points_Change,Change(%),Volume,Turnover_(Rs._Cr.),P/E,P/B,Div_Yield
Nifty 50,2024-01-10,25788.45,25907.6,25739.2,25796.9,-13.95,-.05,247423786,27473.29,24.25,3.86,1.16
Nifty Housing,2024-01-10,-,-,-,12234.86,-16.1,-.13,484721385,19255.21,28.36,3.47,.83
Nifty Financial Services Ex-Bank,2024-01-10,-,-,-,27964.28,72.72,.26,133020722,8157.57,25.1,3.45,.75
Nifty India Defence,2024-01-10,-,-,-,6620.53,-37.84,-.57,18342677,1395.39,53.55,13.03,.49
Nifty Mobility,2024-01-10,-,-,-,23035.35,37.36,.16,147360347,11331.84,29.36,5.8,.86
Nifty India Digital,2024-01-10,9490.2,9616.65,9489.8,9609.4,128.15,1.35,466582738,9517.77,2008.32,18.29,.98
Nifty Total Market,2024-01-10,13664.35,13709.2,13632.55,13678.35,17.05,.12,2533045451,92890.67,28.16,4.2,1.02
Nifty Microcap 250,2024-01-10,25778.05,25886.5,25743.9,25862.45,147.25,.57,321363657,6562.57,37.11,3.77,.49
Nifty500 Multicap 50:25:25,2024-01-10,16931.65,16980.4,16889.55,16960.95,39.2,.23,2211681794,86328.1,30.36,4.41,.95
Nifty Healthcare Index,2024-01-10,14756.1,14782.45,14638.45,14741.6,-10.6,-.07,22002680,3055.92,43.98,6.21,.51
Nifty Financial Services 25/50,2024-01-10,27057.55,27271.55,27047.4,27079.25,-33.95,-.13,95489163,10431.22,17.84,3.09,.9
Nifty Oil & Gas,2024-01-10,13038.2,13110.65,12931.7,12947.9,-87.7,-.67,79848567,4693.68,12.71,1.97,2.67
NIFTY SME EMERGE,2024-01-10,-,-,-,16410.51,124.82,.77,-,-,120.13,11.28,.06
NIFTY LargeMidcap 250,2024-01-10,16917.4,16959.55,16857,16934.3,24.25,.14,1432288207,62149.99,32.29,4.72,.92
Nifty Midcap Select,2024-01-10,13257.2,13312.25,13191.15,13295.9,72.55,.55,446333768,5224.59,67.39,6.58,.79
Nifty IPO,2024-01-10,-,-,-,2334.57,-3.25,-.14,144412932,3548.01,65.04,10.09,.14
Nifty Midcap 150,2024-01-10,22339.75,22400.3,22221.15,22379.75,67.8,.3,810886822,21045.88,45.8,5.91,.68
Nifty MidSmallcap 400,2024-01-10,20982.6,21062.05,20903.9,21042.3,90.4,.43,1590280409,45223.99,40.54,5.23,.74
Nifty Smallcap 50,2024-01-10,9235.65,9296.65,9234.05,9288.0,81.15,.88,227191221,8558.63,32.72,3.77,.8
Nifty Smallcap 250,2024-01-10,18444.8,18550.45,18426.6,18531.8,121.1,.66,779393587,24178.11,33.71,4.35,.83
Nifty Private Bank,2024-01-10,26439.95,26631.7,26411.6,26470.25,-31.6,-.12,98620093,7138.49,16.04,2.47,.57
Nifty India Corporate Group Index - Tata Group 25% Cap,2024-01-10,18482.75,18520.9,18343.75,18407.95,-45.45,-.25,83418642,4574.91,41.03,7.11,.9
Nifty India Corporate Group Index - Tata Group,2024-01-10,-,-,-,20247.36,-2.06,-.01,93788614,5385.8,39.44,8.86,1.11
Nifty India Corporate Group Index - Aditya Birla Group,2024-01-10,-,-,-,8639.77,40.21,.47,390061693,1717.53,551.96,3.93,.48
Nifty India Corporate Group Index - Mahindra Group,2024-01-10,-,-,-,35441.48,727.52,2.1,15005762,2310.48,36.13,4.89,1.21
Nifty500 Equal Weight,2024-01-10,-,-,-,15305.46,52.26,.34,2211681794,86328.1,33.63,4.53,.85
NIFTY50 Equal Weight,2024-01-10,33339.4,33449.3,33242.25,33336.3,-13.6,-.04,247423786,27473.29,25.57,4.16,1.23
NIFTY100 ESG,2024-01-10,5180.2,5203.25,5173.7,5184.9,2.65,.05,534985514,37555.82,26.2,4.56,1.12
Nifty MidSmall Financial Services,2024-01-10,-,-,-,16109.05,171.96,1.08,215612816,7751.23,25.8,2.98,.61
Nifty500 Multicap Momentum Quality 50,2024-01-10,-,-,-,49029.79,163.65,.33,112464544,9276.91,23.77,5.79,1.39
Nifty MidSmall Healthcare,2024-01-10,42286.5,42410.3,42011.55,42341.35,77.65,.18,28411308,2446.12,53.83,6.16,.82
Nifty MidSmall India Consumption,2024-01-10,-,-,-,20323.33,19.91,.1,59919372,3836.32,68.62,9.83,.48
Nifty Next 50,2024-01-10,77233,77532,77004.65,77284.45,189.3,.25,373977599,13630.83,24.86,4.14,1.37
Nifty50 USD,2024-01-10,-,-,-,10664.24,-7.98,-.07,-,-,-,-,-
Nifty 1D Rate Index,2024-01-10,-,-,-,2335.27,0.4,.02,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),2024-01-10,893.54,894.67,893.11,894.67,1.12,.13,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,2024-01-10,2414.66,2417.61,2413.54,2417.61,3.39,.14,-,-,-,-,-
Nifty Composite G-sec Index,2024-01-10,2829.57,2833.99,2828.96,2833.99,4.95,.17,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,2024-01-10,3372.41,3382.46,3372.35,3382.46,10.68,.32,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,2024-01-10,3031.33,3037.31,3029.61,3037.31,6.55,.22,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,2024-01-10,2946.25,2947.51,2945.97,2947.51,1.81,.06,-,-,-,-,-
Nifty 8-13 yr G-Sec,2024-01-10,2729.39,2733.49,2728.41,2733.49,4.61,.17,-,-,-,-,-
NIFTY Quality Low-Volatility 30,2024-01-10,-,-,-,19391.42,1.83,.01,53352863,10616.83,37.12,9.01,1.27
NIFTY Alpha Low-Volatility 30,2024-01-10,31141.15,31237.45,30984.1,31115.0,-8.3,-.03,102059617,14465.97,30.04,4.9,.89
Nifty100 Low Volatility 30,2024-01-10,21425.2,21492.3,21312.05,21410.95,-22.45,-.1,71941402,15634.7,35.97,6.61,.98
NIFTY100 Enhanced ESG,2024-01-10,-,-,-,5223.92,2.78,.05,534261399,37377.43,26.19,4.56,1.13
NIFTY500 Value 50,2024-01-10,-,-,-,15556.79,19.44,.13,572521982,14462.97,13.2,1.78,3.02
NIFTY100 Alpha 30,2024-01-10,-,-,-,21069.41,-7.96,-.04,213035850,12020.25,25.6,5.73,1.41
Nifty India Tourism,2024-01-10,-,-,-,8976.11,-5.87,-.07,57559554,1294.8,65.69,19.44,.18
Nifty500 LargeMidSmall Equal-Cap Weighted,2024-01-10,-,-,-,18757.66,58.87,.31,2211681794,86328.1,32.75,4.59,.89
Nifty EV & New Age Automotive,2024-01-10,-,-,-,3493.89,3.51,.1,81254199,10035.59,37.35,6.24,.64
Nifty500 Multicap India Manufacturing 50:30:20,2024-01-10,16110.8,16161.25,16026.45,16146.35,66.7,.41,290574120,20043.39,35.26,4.34,.75
Nifty Non-Cyclical Consumer,2024-01-10,-,-,-,17925.36,-22.25,-.12,108430807,7888.22,71.61,13.94,.81
Nifty Consumer Durables,2024-01-10,43755.35,43918.8,43566.3,43847.6,158.75,.36,22889953,2652.44,92.94,13.9,.34
Nifty Capital Markets,2024-01-10,-,-,-,3500.87,80.97,2.37,38213060,5349.42,47.01,13.22,.97
Nifty Rural,2024-01-10,-,-,-,16178.66,-17.31,-.11,716062766,19299.65,32.05,4.87,1
Nifty500 Multicap Infrastructure 50:30:20,2024-01-10,15057.65,15122.25,14993.5,15017.8,-22.15,-.15,642746853,13881.61,31.88,4.29,1.07
Nifty Core Housing,2024-01-10,-,-,-,17907.61,54.38,.3,29747578,4881.66,42.37,4.56,.6
Nifty REITs & InvITs,2024-01-10,-,-,-,1146.46,-4.25,-.37,4674799,75.1,30.19,1.84,7.27
Nifty MidSmall IT & Telecom,2024-01-10,-,-,-,11163.56,16.72,.15,409095575,2720.46,1429.75,39.64,.8
Nifty Top 10 Equal Weight,2024-01-10,-,-,-,9809.61,2.9,.03,63775124,11263.96,24.18,4.07,1.06
Nifty Transportation & Logistics,2024-01-10,-,-,-,25820.73,78.05,.3,96563344,7995.38,32.86,6.6,.63
Nifty500 Momentum 50,2024-01-10,-,-,-,64162.98,257.18,.4,400646206,15826.48,31.21,5.54,.72
Nifty500 Shariah,2024-01-10,-,-,-,8226.93,20.3,.25,432985507,28975.5,35.75,6.46,1.19
Nifty50 Shariah,2024-01-10,-,-,-,5628.79,4.07,.07,42269034,6105.05,29.22,6.63,1.73
Nifty Services Sector,2024-01-10,32945.5,33173.65,32945.35,33052.75,45.25,.14,191800927,17411.04,23.38,3.84,1.1
Nifty PSE,2024-01-10,11292.8,11372.95,11226.9,11240.8,-45.2,-.4,213960501,6562.09,13.26,2.5,2.9
Nifty Infrastructure,2024-01-10,9581.25,9631.75,9543.5,9555.25,-19.55,-.2,154429144,10656.83,25.44,3.35,1.11
Nifty Dividend Opportunities 50,2024-01-10,6935.05,6966.1,6923.85,6947.25,15.45,.22,445385694,19752.52,19.73,3.7,2.43
